City,count,mean,std,min,25%,50%,75%,max
330301,62.0,122.8225806451613,82.72936802741033,-4.0,64.75,110.0,147.5,399.0
330401,423.0,151.1158392434988,100.91767706765941,9.0,75.0,126.0,206.5,590.0
330501,464.0,128.6573275862069,92.13721707998623,-15.0,61.75,102.5,177.25,579.0
330502,344.0,124.16279069767442,98.07798532893847,-5.0,58.0,96.0,156.0,620.0
330503,133.0,121.76691729323308,82.73001793146233,0.0,62.0,97.0,160.0,552.0
340101,520.0,159.87307692307692,100.0569743580223,9.0,83.0,131.5,211.5,559.0
340102,450.0,154.89111111111112,98.96976731740193,0.0,82.0,127.0,203.5,484.0
340103,394.0,148.38832487309645,95.56780343915133,-10.0,80.0,121.0,193.0,493.0
340104,369.0,161.3739837398374,104.19883780338348,0.0,83.0,128.0,226.0,547.0
340105,365.0,152.6109589041096,96.11686962664375,-12.0,80.0,129.0,202.0,496.0
340106,320.0,151.503125,104.23661888931589,-4.0,80.0,115.0,210.25,510.0
340107,151.0,155.7748344370861,84.32747058821188,33.0,99.0,133.0,188.5,487.0
350101,389.0,165.3650385604113,106.50032869273633,11.0,84.0,130.0,233.0,593.0
350102,384.0,162.43489583333334,103.65876399761828,-19.0,84.75,134.0,229.25,588.0
350106,304.0,173.29934210526315,103.5815037560173,-9.0,92.75,149.5,232.75,563.0
350201,655.0,174.82290076335877,106.81487784567926,5.0,98.0,146.0,232.0,648.0
350204,211.0,172.95260663507108,101.57477953907257,15.0,92.5,146.0,237.5,473.0
361402,249.0,132.80722891566265,106.38595186387946,-15.0,60.0,102.0,172.0,569.0
362504,90.0,116.02222222222223,106.13199093875616,-10.0,50.25,84.0,145.0,629.0
362505,155.0,108.65161290322581,108.1000374561961,-15.0,45.0,76.0,123.5,609.0
362701,201.0,108.88059701492537,93.82129647175951,0.0,52.0,79.0,134.0,540.0
410306,693.0,124.88167388167388,107.65509243261018,-22.0,60.0,95.0,148.0,680.0
410611,455.0,130.98461538461538,103.49735458437613,-6.0,69.0,100.0,151.0,650.0
410612,447.0,134.21476510067114,102.91682590833044,5.0,70.0,106.0,158.5,657.0
410614,181.0,146.51933701657458,106.0162247100897,-12.0,79.0,116.0,176.0,636.0
411005,577.0,142.1473136915078,104.92823670596303,7.0,74.0,108.0,168.0,650.0
411007,277.0,144.74729241877256,102.0146037867049,10.0,71.0,115.0,170.0,532.0
411410,462.0,130.482683982684,104.78331490964132,-24.0,64.25,99.0,154.5,619.0
411411,362.0,132.23204419889504,106.63987223279244,-9.0,68.25,98.0,154.0,661.0
411605,363.0,141.63911845730027,107.46783823811815,7.0,77.5,114.0,160.0,642.0
411606,201.0,135.33333333333334,97.7420755526162,9.0,80.0,105.0,163.0,600.0
411607,575.0,131.66782608695652,97.23809238729196,-34.0,76.0,109.0,149.0,677.0
411705,412.0,125.51941747572816,92.28872557244661,-20.0,75.75,106.0,145.0,658.0
411706,386.0,127.9041450777202,89.71101444440271,0.0,73.25,109.0,145.0,536.0
412303,442.0,124.37556561085972,96.85919902425583,-21.0,65.0,100.5,141.75,597.0
412405,465.0,130.69462365591397,105.40260086186879,-13.0,65.0,100.0,153.0,547.0
412406,349.0,136.34383954154728,105.7323765817706,-19.0,67.0,106.0,163.0,568.0
412407,186.0,136.2688172043011,104.19089961660643,-25.0,75.0,106.0,147.75,519.0
412505,298.0,138.06040268456377,105.19315107379344,13.0,77.0,105.0,159.25,666.0
412605,111.0,133.45945945945945,82.3323402474037,11.0,85.0,118.0,167.5,476.0
412703,453.0,139.87417218543047,103.11733830819504,-2.0,74.0,105.0,163.0,543.0
412803,261.0,123.82375478927203,96.51472372171048,-10.0,64.0,96.0,142.0,471.0
412804,208.0,114.57692307692308,92.17817154995845,-35.0,53.0,92.0,146.25,623.0
412805,200.0,104.87,75.85567557927317,-8.0,57.0,89.0,131.5,529.0
412906,269.0,137.74349442379182,107.79110707918059,0.0,70.0,108.0,157.0,533.0
412908,255.0,126.09803921568627,103.90642650279689,-3.0,64.0,95.0,147.5,627.0
412909,222.0,132.4009009009009,102.0724904288718,-7.0,68.0,100.0,157.25,513.0
413107,464.0,119.07758620689656,91.01578443904764,-25.0,61.75,91.0,139.25,510.0
413109,449.0,131.1291759465479,107.85837800050481,-14.0,65.0,100.0,150.0,594.0
430107,336.0,104.61904761904762,98.06804275216018,-35.0,45.0,79.5,127.25,572.0
441406,340.0,111.42647058823529,104.71716594218798,-24.0,51.75,81.0,125.0,657.0
441802,377.0,110.43766578249337,103.85649859743933,-10.0,50.0,81.0,124.0,646.0
441908,463.0,114.04103671706264,106.46303161295752,-35.0,47.5,81.0,138.0,634.0
441909,461.0,117.34924078091106,108.1230053571663,-9.0,49.0,83.0,139.0,658.0
441913,354.0,113.52824858757062,103.68587089370561,-38.0,51.25,82.5,129.25,597.0
441914,687.0,110.38427947598254,105.4574137184769,-22.0,47.0,78.0,127.5,657.0
442205,351.0,104.91737891737891,98.22144956298065,-18.0,48.0,79.0,119.5,650.0
442206,330.0,109.63333333333334,102.94904800092057,-29.0,46.0,75.5,135.0,616.0
442304,326.0,109.65030674846626,105.579137434647,-15.0,45.25,75.0,125.0,608.0
442706,488.0,96.90163934426229,85.21666164758138,-6.0,45.0,72.5,117.25,607.0
442707,470.0,97.86382978723404,99.45897660817438,-17.0,42.25,71.0,113.0,671.0
442708,416.0,103.9110576923077,101.7563083404236,-20.0,47.0,77.0,116.5,675.0
442709,373.0,105.48525469168901,99.65849171126088,-13.0,44.0,73.0,132.0,671.0
